Row Labels,Actinopteri,Amphibia,Arachnida,Aves,Chondrichthyes,Cladistia,Coelacanthimorpha,Hyperoartia,Insecta,Lepidosauria,Mammalia,(blank),Grand Total
1.1,1900,,,,,,,,,,,,1900
1.2,297,,,,,,,,,,,,297
1.3,2179,,,,,,,,,,,,2179
1.4,151,,,,,,,,,,15,,166
1.5,5150,,,,,,,,,,,,5150
2.2,16,5,,,,,,,,6,3,,30
2.3,14,14,,5,,,,,,6,12,,51
2.4,4,1,,3,,,,,,2,11,,21
2.5,17,16,,,1,,,,4,14,7,1,60
2.6,1,3,,2,,,,,,2,,,8
3.1,12,6,,2,1,,,,,3,3,1,28
3.2,5,6,,,,,,,1,2,8,1,23
3.3,1,5,,1,,,,,2,4,2,,15
3.4,1,1,,,,,,,,,1,,3
4.1,15,,,,,,,,,1,2,,18
4.2,17,2,,1,,,,,2,4,2,,28
5.1,106,,,,2,,,,7,26,6,,147
5.2,30,4,,2,6,,,,,9,3,1,55
5.3,17,15,,6,,,,,1,23,16,,78
5.4,55,22,,10,6,,,,3,22,17,2,137
6.2,15,,,,,,,,,1,,,16
6.3,13,2,,5,1,,,,1,8,10,,40
6.4,13,14,,,3,,,,,5,5,,40
6.5,14,21,,1,,,,,,5,1,,42
7.2,6,27,,5,,,,,1,5,17,,61
7.3,231,129,,78,28,,1,,10,128,243,,848
7.4,35,11,1,5,,,,,3,28,37,,120
7.5,110,111,,22,12,,,1,7,42,65,,370
8.1,115,46,,19,1,2,,,2,63,51,3,302
8.2,36,31,,12,1,,,,1,28,54,5,168
12.2,24,16,,3,5,,,,2,28,14,5,97
12.3,49,33,,13,2,,,,3,22,17,9,148
13.1,14,1,,2,1,,,,1,17,14,,50
13.2,46,9,,9,,,,,2,26,18,4,114
16.2,33,37,,7,3,,,,6,36,8,,130
16.3,13,15,,2,,,,,1,3,2,,36
17.1,13,26,,4,1,,,,3,7,10,3,67
17.2,16,6,,,3,,,,,10,2,,37
