Actinopteri,Aves,Chondrichthyes,Cladistia,Coelacanthimorpha,Hyperoartia,Insecta,Mammalia,Unclassified
1900,,,,,,,,0
297,,,,,,,,0
2179,,,,,,,,0
151,,,,,,,15,0
5150,,,,,,,,0
16,,,,,,,3,11
14,5,,,,,,12,20
4,3,,,,,,11,3
17,,1,,,,4,7,31
1,2,,,,,,,5
12,2,1,,,,,3,10
5,,,,,,1,8,9
1,1,,,,,2,2,9
1,,,,,,,1,1
15,,,,,,,2,1
17,1,,,,,2,2,6
106,,2,,,,7,6,26
30,2,6,,,,,3,14
17,6,,,,,1,16,38
55,10,6,,,,3,17,46
15,,,,,,,,1
13,5,1,,,,1,10,10
13,,3,,,,,5,19
14,1,,,,,,1,26
6,5,,,,,1,17,32
231,78,28,,1,,10,243,257
35,5,,,,,3,37,40
110,22,12,,,1,7,65,153
115,19,1,2,,,2,51,112
36,12,1,,,,1,54,64
24,3,5,,,,2,14,49
49,13,2,,,,3,17,64
14,2,1,,,,1,14,18
46,9,,,,,2,18,39
33,7,3,,,,6,8,73
13,2,,,,,1,2,18
13,4,1,,,,3,10,36
16,,3,,,,,2,16
