Acanthuriformes,Accipitriformes,Alepocephaliformes,Anabantiformes,Anguilliformes,Anseriformes,Anura,Apodiformes,Araneae,Argentiniformes,Artiodactyla,Aulopiformes,Batrachoidiformes,Beloniformes,Blenniiformes,Bucerotiformes,Carangiformes,Carcharhiniformes,Carnivora,Caudata,Centrarchiformes,Chaetodontiformes,Characiformes,Charadriiformes,Chimaeriformes,Chiroptera,Cichliformes,Ciconiiformes,Cingulata,Clupeiformes,Coelacanthiformes,Coleoptera,Columbiformes,Coraciiformes,Cuculiformes,Cypriniformes,Cyprinodontiformes,Dasyuromorphia,Dermoptera,Didelphimorphia,Dinornithiformes,Diprotodontia,Ephemeroptera,Eulipotyphla,Falconiformes,Gadiformes,Galaxiiformes,Galliformes,Gobiiformes,Gruiformes,Gymnophiona,Gymnotiformes,Hexanchiformes,Holocentriformes,Kurtiformes,Labriformes,Lagomorpha,Lamniformes,Lampriformes,Lophiiformes,Lutjaniformes,Macroscelidea,Microbiotheria,Monotremata,Mugiliformes,Myctophiformes,Myliobatiformes,Notacanthiformes,Ophidiiformes,Osmeriformes,Passeriformes,Paucituberculata,Pelecaniformes,Pempheriformes,Peramelemorphia,Perciformes,Percopsiformes,Perissodactyla,Petromyzontiformes,Pholidota,Piciformes,Pilosa,Pleuronectiformes,Podicipediformes,Polypteriformes,Primates,Pristiformes/Rhiniformes group,Procellariiformes,Psittaciformes,Rajiformes,Rodentia,Salmoniformes,Scombriformes,Siluriformes,Spariformes,Sphenisciformes,Squaliformes,Squamata,Stomiiformes,Struthioniformes,Synbranchiformes,Syngnathiformes,Testudines,Tetraodontiformes,Tinamiformes,Torpediniformes,Trachichthyiformes,Trogoniformes,Tubulidentata,Uranoscopiformes,Zeiformes,(blank)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,862,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,6,,,,2,,,,,,,,,,
,,,,,,5,,,3,1,,,,,,2,,,6,,1,,5,,4,,,,,,,,,,1,,,,4,,,,,,,,,2,,3,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,1,,,,6,,,,,,,,,,,,,,1
,,,,,,,1,,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,1,,,,,,2,,,,,,,,,,,,,,
,,,,,,12,,,,1,,,,,,1,,1,4,,,,,,3,,,,,,4,,,,,,,,,,,,,,4,,,5,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,1,,,,,,,14,,,,2,1,,,,,,,,1,
,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
