Accession#,Reads,DescriptionDepth,Description,Library,Barcode Label,Barcode,Sample,Depth,Taxonomy,Kingdom,Phyllum,Class,Order,Family,Genus,Species,Proportion of Reads
AP012253.1,12,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Benthosema;Benthosema fibulatum,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema fibulatum,0.006315789
LC499129.1,84,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.044210526
LC499128.1,90,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.047368421
AP012253.1,5,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Benthosema;Benthosema fibulatum,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema fibulatum,0.002631579
LC499129.1,73,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.038421053
LC458344.1,77,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster axiologus,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster axiologus,0.040526316
LC499128.1,74,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.038947368
LC037121.1,55,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster axiologus,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster axiologus,0.028947368
AP012253.1,4,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Benthosema;Benthosema fibulatum,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema fibulatum,0.002105263
LC499128.1,86,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.045263158
LC499129.1,82,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.043157895
LC021027.1,82,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus stereope,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus stereope,0.043157895
LC499128.1,82,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.043157895
AP012253.1,6,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Benthosema;Benthosema fibulatum,Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema fibulatum,0.003157895
LC499129.1,71,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus spinifer,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus spinifer,0.037368421
LC458345.1,74,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster axiologus,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster axiologus,0.038947368
LC021027.1,70,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus stereope,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus stereope,0.036842105
LC021027.1,73,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus stereope,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus stereope,0.038421053
LC021027.1,66,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus stereope,Eukaryota,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Polyipnus,Polyipnus stereope,0.034736842
LC458344.1,70,"Site 1, Hawai'i Nearshore (400m)","Site 1, Hawai'I Nearshore",Lib1,Seq1.1,Barcode1,HC1.1,400,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster axiologus,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster axiologus,0.036842105
