Station,SAMPLE,Date,Start Time,End Time,UTC Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Max Tension (m) ,Max Wire out (m),Cast Depth (m),Volt. 0 sensor/SN,Volt. 1 sensor/SN,Volt.2 sensor/SN,Volt. 3 sensor/SN,Volt. 4 sensor/SN,Volt. 5 sensor/SN,CTD unit #,CTD Volt in,CTD Volt out,AFM Volt in,AFM Volt out,Bottom Depth (m),Updated Location,OceanType,GeneralLocale,Bottle,Z Target (m),Z Corr (m),Temp (deg C),Salinity (psu),Density (kg/m3),O2 Seapoint (mL/L),Chla-Fluoro (V),LatDisplay,LonDisplay,LatDEC,LonDEC
S303-001-HC,1.1,5-May-22,1618,1641,2:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,644.6,502,426,Free,Free,Chla SCF 3756,O2 SBE43 1121,PAR 4720,Free,7706,,11.2,,12.3,735,Nearshore,Nearshore,Hawai'i Nearshore,11,5,4.943,25.5075,34.3971,22.7308,202.238,2.72E-01,19°57.6' N,156°0.3' W,19.96,-156.005
S303-001-HC,1.2,5-May-22,1618,1641,2:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,644.6,502,426,Free,Free,Chla SCF 3757,O2 SBE43 1122,PAR 4721,Free,7706,,11.2,,12.3,735,Nearshore,Nearshore,Hawai'i Nearshore,10,5,5.6,25.4971,34.3943,22.7318,201.604,2.65E-01,19°57.6' N,156°0.3' W,19.96,-156.005
S303-001-HC,1.3,5-May-22,1618,1641,2:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,644.6,502,426,Free,Free,Chla SCF 3762,O2 SBE43 1127,PAR 4726,Free,7706,,11.2,,12.3,735,Nearshore,Nearshore,Hawai'i Nearshore,5,200,196.874,15.5801,34.5255,25.4776,166.753,2.32E-01,19°57.6' N,156°0.3' W,19.96,-156.005
S303-001-HC,1.4,5-May-22,1618,1641,2:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,644.6,502,426,Free,Free,Chla SCF 3763,O2 SBE43 1128,PAR 4727,Free,7706,,11.2,,12.3,735,Nearshore,Nearshore,Hawai'i Nearshore,4,200,198.501,15.5158,34.5165,25.485,166.493,2.28E-01,19°57.6' N,156°0.3' W,19.96,-156.005
S303-001-HC,1.5,5-May-22,1618,1641,2:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,644.6,502,426,Free,Free,Chla SCF 3764,O2 SBE43 1129,PAR 4728,Free,7706,,11.2,,12.3,735,Nearshore,Nearshore,Hawai'i Nearshore,3,400,393.354,7.837,34.2067,26.6749,76.026,2.34E-01,19°57.6' N,156°0.3' W,19.96,-156.005
S303-002-HC,2.2,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,692,,590,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11.3,,,715,Nearshore,Nearshore,Keiahoe/Hawai'i,10,50,49.582,25.155,34.4192,22.8553,203.128,3.83E-01,19°33.3' N,156°0.9' W,19.555,-156.015
S303-002-HC,2.3,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,692,,590,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11.3,,,715,Nearshore,Nearshore,Keiahoe/Hawai'i,7,200,193.975,14.6832,34.3991,25.5774,146.754,3.47E-01,19°33.3' N,156°0.9' W,19.555,-156.015
S303-002-HC,2.4,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,692,,590,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11.3,,,715,Nearshore,Nearshore,Keiahoe/Hawai'i,6,200,195.815,14.6075,34.3576,25.5617,146.682,3.25E-01,19°33.3' N,156°0.9' W,19.555,-156.015
S303-002-HC,2.5,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,692,,590,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11.3,,,715,Nearshore,Nearshore,Keiahoe/Hawai'i,3,400,395.562,8.6714,34.2461,26.5795,74.101,2.37E-01,19°33.3' N,156°0.9' W,19.555,-156.015
S303-002-HC,2.6,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,692,,590,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11.3,,,715,Nearshore,Nearshore,Keiahoe/Hawai'i,2,400,397.204,8.6033,34.2539,26.5962,73.266,2.33E-01,19°33.3' N,156°0.9' W,19.555,-156.015
S303-003-HC,3.1,7-May-22,2257,2333,8:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,621.1,650,609,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11,,,3555,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,8,200,194.538,14.3032,34.3319,25.6069,165.305,2.25E-01,19°3.7' N,156°52.6' W,19.062,-156.877
S303-003-HC,3.2,7-May-22,2257,2333,8:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,621.1,650,609,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11,,,3555,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,7,200,194.385,14.1347,34.459,25.7407,164.879,2.23E-01,19°3.7' N,156°52.6' W,19.062,-156.877
S303-003-HC,3.3,7-May-22,2257,2333,8:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,621.1,650,609,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11,,,3555,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,4,400,392.592,7.4586,34.1793,26.7081,67.966,2.49E-01,19°3.7' N,156°52.6' W,19.062,-156.877
S303-003-HC,3.4,7-May-22,2257,2333,8:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,621.1,650,609,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,11,,,3555,Cyclonic Eddy,Cyclonic Eddy,Cyclonic Eddy,3,400,393.514,7.45,34.1936,26.7206,66.954,2.48E-01,19°3.7' N,156°52.6' W,19.062,-156.877
S303-004-HC,4.1,8-May-22,1127,1152,21:27,,18,43.3,N,157,39.4,W,25.8,2.87,34.54,881.2,670,601,Free,Free,Chla SCF 3755,O2 SBE43 1120,PAR 4719,Free,7706,,10.3,,11.96,,Eddy Convergence,Eddy Convergence,Eddy convergence,4,400,390.447,8.2083,34.279,26.6764,51.099,2.42E-01,18°43.3' N,157°39.4' W,18.722,-157.657
