sum.taxonomy	X12S_Sample.EB.combined	X12S_Sample.FB.combined	X12S_Sample12.2.StatNo.12	X12S_Sample12.3.StatNo.12	X12S_Sample13.1.StatNo.13	X12S_Sample13.2.StatNo.13	X12S_Sample16.2.StatNo.16	X12S_Sample16.3.StatNo.16	X12S_Sample17.1.StatNo.17	X12S_Sample17.2.StatNo.17	X12S_Sample17.3.StatNo.17	X12S_Sample17.4.StatNo.17	X12S_Sample18.2.StatNo.18	X12S_Sample18.3.StatNo.18	X12S_Sample19.1.StatNo.19	X12S_Sample19.2.StatNo.19	X12S_Sample25.1.StatNo.28	X12S_Sample25.11.StatNo.28	X12S_Sample25.2.StatNo.28	X12S_Sample26.11.StatNo.45	X12S_Sample26.12.StatNo.45	X12S_Sample27.11.StatNo.41	X12S_Sample3.1.StatNo.3	X12S_Sample3.2.StatNo.3	X12S_Sample3.3.StatNo.3	X12S_Sample3.4.StatNo.3	X12S_Sample4.1.StatNo.4	X12S_Sample4.2.StatNo.4	X12S_Sample5.1.StatNo.5	X12S_Sample5.2.StatNo.5	X12S_Sample5.3.StatNo.5	X12S_Sample5.4.StatNo.5	X12S_Sample6.2.StatNo.6	X12S_Sample6.3.StatNo.6	X12S_Sample6.4.StatNo.6	X12S_Sample6.5.StatNo.6	X12S_Sample7.2.StatNo.7	X12S_Sample7.3.StatNo.7	X12S_Sample7.4.StatNo.7	X12S_Sample7.5.StatNo.7	X12S_Sample8.1.StatNo.8	X12S_Sample8.2.StatNo.8
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus leucosternon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigricauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus triostegus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso brachycentron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Prionurus;Prionurus maculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Prionurus;Prionurus scalprum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma flavescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
