DEPTH,SAMPLE #,Barcode label,SAMPLE #,STATION NUMBER,REPLICATE NUMBER,DATE,DNA extracted?,PCR No.,Barcode No,,Library No,Sequenced?,Niskin Bottle,Notes,Station,Date,Start Time,End Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Bottom Depth (m),General Locale,Bottle,"Total Number of Reads, cut for graphing",Total Number of Reads,Date,Start Time,End Time,UTC Time,Log,LatDeg,LatMin,LatNS,LonDeg ,LogMin,LonEW,Temp (oC),Fluoro (chl-a),Sal (psu),Bottom Depth (m),General Locale,Z Target (m),Z Corr (m),Temp (deg C),Salinity (psu),Density (kg/m3),O2 Seapoint (mL/L),O2 Winkle (mL/L),PO4  (uM),SiO2 (uM),Nitrate (uM),Chl a (ug/l),pH,Chla-Fluoro (V),Alkalinity,tDIC,pCO2,CO2 flux,CO2 solubility (mol/kg/atm),Notes,LatDisplay,LonDisplay,LatDEC,LonDEC,SWDivClassUncut,SWDivOrderUncut,Z Corr (m),Average Diversity per Station (Order),MeterNetZooplanktonVol,Meter Net Diversity,MeterNetZplDensity,Echo Amplitude,,,,,,,,,,,,,,,,,,,,,,,,,-1
400,1.1,Barcode1.1,HC1.1,1,1,5/5/22,5/7/22,1,1,,Lib1,Y,2,,S303-001-HC,5-May-22,1618,1641,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'I Nearshore,2,1900,1900,5-May-22,1618,1641,02:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'i Nearshore,400,393.354,7.837,34.2067,26.6749,76.026,,,,,,,2.34E-01,,,,,,,19°57.6' N,156°0.3' W,19.960,-156.005,0,0.336417264,393.354,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.2,Barcode1.2,HC1.2,1,1,5/5/22,5/7/22,1,2,,Lib1,Y,4,,S303-001-HC,5-May-22,1618,1641,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'I Nearshore,4,297,297,5-May-22,1618,1641,02:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'i Nearshore,200,198.501,15.5158,34.5165,25.485,166.493,,,,,,,2.28E-01,,,,,,,19°57.6' N,156°0.3' W,19.960,-156.005,0,0.300475869,198.501,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.3,Barcode1.3,HC1.3,1,2,5/5/22,5/7/22,1,3,,Lib1,Y,5,,S303-001-HC,5-May-22,1618,1641,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'I Nearshore,5,2179,2179,5-May-22,1618,1641,02:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'i Nearshore,200,196.874,15.5801,34.5255,25.4776,166.753,,,,,,,2.32E-01,,,,,,,19°57.6' N,156°0.3' W,19.960,-156.005,0,0,196.874,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.4,Barcode1.4,HC1.4,1,1,5/5/22,5/7/22,1,4,,Lib1,Y,10,,S303-001-HC,5-May-22,1618,1641,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'I Nearshore,10,166,166,5-May-22,1618,1641,02:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'i Nearshore,5,5.6,25.4971,34.3943,22.7318,201.604,,,,,,,2.65E-01,,,,,,,19°57.6' N,156°0.3' W,19.960,-156.005,0.131753341,0.397197181,5.6,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.5,Barcode1.5,HC1.5,1,2,5/5/22,5/7/22,1,5,,Lib1,Y,11,,S303-001-HC,5-May-22,1618,1641,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'I Nearshore,11,5150,5150,5-May-22,1618,1641,02:18,,19,57.6,N,156,0.3,W,25.9,3,34.36,735,Hawai'i Nearshore,5,4.943,25.5075,34.3971,22.7308,202.238,,,,,,,2.72E-01,,,,,,,19°57.6' N,156°0.3' W,19.960,-156.005,0,0.324628979,4.943,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,
400,2.2,Barcode2.2,HC2.2,2,1,5/7/22,5/10/22,2,2,,Lib2,Y,3,,S303-002-HC,7-May-22,1016,1046,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,3,16,30,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,x,3.19,34.39,715,Keiahoe/Hawai'i,400,395.562,8.6714,34.2461,26.5795,74.101,,,,,,,2.37E-01,,,,,,,19°33.3' N,156°0.9' W,19.555,-156.015,0.515086554,0.759827548,395.562,,91.0000,0.364497147,0.081709324,41,,,,,,,,,,,,,,,,,,,,,,,,,
200,2.3,Barcode2.3,HC2.3,2,1,5/7/22,5/10/22,2,3,,Lib2,Y,6,,S303-002-HC,7-May-22,1016,1046,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,6,25,51,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,200,195.815,14.6075,34.3576,25.5617,146.682,,0.96,,11.80,,,3.25E-01,,,,,,,19°33.3' N,156°0.9' W,19.555,-156.015,0.664324735,1.201434833,195.815,,91.0000,0.364497147,0.081709324,64,,,,,,,,,,,,,,,,,,,,,,,,,
200,2.4,Barcode2.4,HC2.4,2,2,5/7/22,5/10/22,2,4,,Lib2,Y,7,,S303-002-HC,7-May-22,1016,1046,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,7,6,21,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,200,193.975,14.6832,34.3991,25.5774,146.754,,0.96,,11.80,,,3.47E-01,,,,,,,19°33.3' N,156°0.9' W,19.555,-156.015,0.565220092,1.006854537,193.975,,91.0000,0.364497147,0.081709324,64,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.5,Barcode2.5,HC2.5,2,1,5/7/22,5/10/22,2,5,,Lib2,Y,10,,S303-002-HC,7-May-22,1016,1046,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,10,30,60,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,50,49.582,25.155,34.4192,22.8553,203.128,,,,,,,3.83E-01,,,,,,,19°33.3' N,156°0.9' W,19.555,-156.015,0.702263415,1.058479169,49.582,,91.0000,0.364497147,0.081709324,116,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.6,Barcode2.6,HC2.6,2,2,5/7/22,5/10/22,2,6,,Lib2,Y,11,,S303-002-HC,7-May-22,1016,1046,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,11,1,8,7-May-22,1016,1046,20:16,250.4,19,33.3,N,156,0.9,W,25.7,3.19,34.39,715,Keiahoe/Hawai'i,50,47.898,25.157,34.4208,22.8559,203.202,,,,,,,3.83E-01,,,,,,,19°33.3' N,156°0.9' W,19.555,-156.015,0.573654519,0.573654519,47.898,,91.0000,0.364497147,0.081709324,116,,,,,,,,,,,,,,,,,,,,,,,,,
400,3.1,Barcode2.7,HC3.1,3,1,5/7/22,5/10/22,2,7,,Lib2,Y,3,NO filtration blank,S303-003-HC,7-May-22,2257,2333,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,3,17,28,7-May-22,2257,2333,08:57,319.4,19,3.7,N,156,52.6,W,25.5,3.5,34.68,3555,Cyclonic Eddy,400,393.514,7.45,34.1936,26.7206,66.954,,,,,,,2.48E-01,,,,,,,19°3.7' N,156°52.6' W,19.062,-156.877,0.694162675,0.778023924,393.514,,66.0,0.280502813,0.023957167,38,,,,,,,,,,,,,,,,,,,,,,,,,
