"","OceanType","Locale","Depth","Latitude","Temperature","Chlorophyll","Salinity","Oxygen","Density","Time","Hour","Diversity","HourGroup","TimeOfDay","LocaleEdit"
"1.1","Near shore","Hawai'I Nearshore",400,19,25.9,0.234,34.2067,76.026,26.6749,2,16,0.336417264,"3","Afternoon","Hawai'I Nearshore"
"1.2","Near shore","Hawai'I Nearshore",200,19,25.9,0.228,34.5165,166.493,25.485,2,16,0.300475869,"3","Afternoon","Hawai'I Nearshore"
"1.3","Near shore","Hawai'I Nearshore",200,19,25.9,0.232,34.5255,166.753,25.4776,2,16,0,"3","Afternoon","Hawai'I Nearshore"
"1.4","Near shore","Hawai'I Nearshore",5,19,25.9,0.265,34.3943,201.604,22.7318,2,16,0.397197181,"3","Afternoon","Hawai'I Nearshore"
"1.5","Near shore","Hawai'I Nearshore",5,19,25.9,0.272,34.3971,202.238,22.7308,2,16,0.324628979,"3","Afternoon","Hawai'I Nearshore"
"2.2","Near shore","Keiahoe/Hawai'i",400,19,25.7,0.237,34.2461,74.101,26.5795,1,10,0.759827548,"2","Morning","Keiahoe/Hawai'i"
"2.3","Near shore","Keiahoe/Hawai'i",200,19,25.7,0.325,34.3576,146.682,25.5617,1,10,1.201434833,"2","Morning","Keiahoe/Hawai'i"
"2.4","Near shore","Keiahoe/Hawai'i",200,19,25.7,0.347,34.3991,146.754,25.5774,1,10,1.006854537,"2","Morning","Keiahoe/Hawai'i"
"2.5","Near shore","Keiahoe/Hawai'i",50,19,25.7,0.383,34.4192,203.128,22.8553,1,10,1.058479169,"2","Morning","Keiahoe/Hawai'i"
"2.6","Near shore","Keiahoe/Hawai'i",50,19,25.7,0.383,34.4208,203.202,22.8559,1,10,0.573654519,"2","Morning","Keiahoe/Hawai'i"
"3.1","Cyclonic Eddy","Cyclonic Eddy",400,19,25.5,0.248,34.1936,66.954,26.7206,3,23,0.778023924,"4","Night","Cyclonic Eddy"
"3.2","Cyclonic Eddy","Cyclonic Eddy",400,19,25.5,0.249,34.1793,67.966,26.7081,3,23,1.011552894,"4","Night","Cyclonic Eddy"
"3.3","Cyclonic Eddy","Cyclonic Eddy",200,19,25.5,0.223,34.459,164.879,25.7407,3,23,0.742414594,"4","Night","Cyclonic Eddy"
"3.4","Cyclonic Eddy","Cyclonic Eddy",200,19,25.5,0.225,34.3319,165.305,25.6069,3,23,0.477121255,"4","Night","Cyclonic Eddy"
"4.1","Eddy convergence","Eddy convergence",400,18,25.8,0.243,34.2744,50.717,26.6751,1,11,0.734834866,"2","Morning","Eddy convergence"
"4.2","Eddy convergence","Eddy convergence",400,18,25.8,0.242,34.279,51.099,26.6764,1,11,1.069586692,"2","Morning","Eddy convergence"
"5.1","Anticyclonic eddy","Swordfish Seamount",400,18,25.8,0.235,34.2549,63.65,26.6294,3,23,0.620482447,"4","Night","Swordfish Seamount"
"5.2","Anticyclonic eddy","Swordfish Seamount",400,18,25.8,0.234,34.2552,63.865,26.6266,3,23,1.081502189,"4","Night","Swordfish Seamount"
"5.3","Anticyclonic eddy","Swordfish Seamount",200,18,25.8,0.369,34.61,163.881,25.1051,3,23,1.09039088,"4","Night","Swordfish Seamount"
